codigo_proyecto,nombre,tipo,ciudad,departamento,zona
ADMINISTRACION CT 2026,Administración CT 2026,Administrativo,Bogotá D.C.,Bogotá D.C.,Centro
ADMINISTRATIVO 2025,Administrativo 2025,Administrativo,Bogotá D.C.,Bogotá D.C.,Centro
EQUIPO MENOR,Equipo Menor,Logístico,Bogotá D.C.,Bogotá D.C.,Centro
EQUIPOS GT 2025,Equipos GT 2025,Logístico,Bogotá D.C.,Bogotá D.C.,Centro
EQUIPOS GT 2026,Equipos GT 2026,Logístico,Bogotá D.C.,Bogotá D.C.,Centro
EQUIPOS PT 2025,Equipos PT 2025,Logístico,Bogotá D.C.,Bogotá D.C.,Centro
HERRAMIENTA DE PERFORACION 2025,Herramienta de Perforación 2025,Logístico,Bogotá D.C.,Bogotá D.C.,Centro
SUMINISTRO DE MATERIALES PT,Suministro de Materiales PT,Logístico,Bogotá D.C.,Bogotá D.C.,Centro
TALENTO HUMANO,Talento Humano,Administrativo,Bogotá D.C.,Bogotá D.C.,Centro
CT23-205 ESTABILIZACION DE TALUDES - CERREJON,Estabilización de Taludes – Cerrejón,Obra civil,Albania / El Cerrejón,La Guajira,Caribe
CT24-052 Perforación y tesado de barras Cll 6 - PTCC2021,Perforación y Tesado de Barras Cll 6 – PTCC2021,Obra civil,Bogotá D.C.,Bogotá D.C.,Centro
CT24-131 Puentes Peatonales Transversal del Sisga,Puentes Peatonales Transversal del Sisga,Obra civil,Chocontá / Machetá,Cundinamarca,Centro
CT24-291 PT Puente Cesar,PT Puente Cesar,Obra civil,,Cesar,Caribe
CT24-328 Inclusiones - CONSORCIO VIAL SOACHA,Inclusiones – Consorcio Vial Soacha,Obra civil,Soacha,Cundinamarca,Centro
CT25-014 Tensionamientos UF7 - CONSORCIO FERROCOL SANTANDER,Tensionamientos UF7 – Consorcio Ferrocol,Obra civil,Lebrija,Santander,Nororiente
CT25-034 ANCLAJES SOLEI,Anclajes Solei,Obra civil,Medellin,Antioquia,Occidente
CT25-034 ANCLAJES SOLEI V2,Anclajes Solei V2,Obra civil,Medellin,Antioquia,Occidente
CT25-075 ESTABILIZACION TALUDES - POLANCO,Estabilización Taludes – Polanco,Obra civil,Polanco,Norte de Santander,Nororiente
CT25-076 Micropilotes Red Matriz - CONCONCRETO,Micropilotes Red Matriz – Conconcreto,Obra civil,Bogotá D.C.,Bogotá D.C.,Centro
CT25-134 ANCLAJES MISTRAL,Anclajes Mistral,Obra civil,Medellin,Antioquia,Occidente
CT25-162 Micropilotes Guarne,Micropilotes Guarne,Obra civil,Guarne,Antioquia,Occidente
CT25-172 Micropilotes Teatro Mcdouell,Micropilotes Teatro Mcdouell,Obra civil,Zipaquirá,Cundinamarca,Centro
CT25-200 Micropilotes RSO Palmira,Micropilotes RSO Palmira,Obra civil,Palmira,Valle del Cauca,Occidente
CT25-202 Micropilotes IZZI 96,Micropilotes IZZI 96,Obra civil,Bogotá D.C.,Bogotá D.C.,Centro
